[1][CREATE] from=0x6d9f6e, to=0xf90da5, atInversebrahint248() -> 0x608060
          [6][DELEGATECALL] from=Yearn V3 Vault, to=Yearn V3 Vault, balanceOfaddress() -> 0x000000
        [5][CALL] from=0x151aa6, to=Yearn V3 Vault, redeemuint256() -> 0x000000
          [6][DELEGATECALL] from=Yearn V3 Vault, to=Yearn V3 Vault, redeemuint256() -> 0x000000
            [7][STATICCALL][0] from=Yearn V3 Vault, to=0x000000
            [7][CALL] from=Yearn V3 Vault, to=crvUSD Stablecoin, transferaddress() -> 0x000000
        [5][STATICCALL] from=0x151aa6, to=crvUSD Stablecoin, balanceOfaddress() -> 0x000000
        [5][CALL] from=0x151aa6, to=crvUSD Stablecoin, approveaddress() -> 0x000000
        [5][CALL] from=0x151aa6, to=Vyper_contract, exchangeint128() -> 0x000000
          [6][DELEGATECALL] from=Vyper_contract, to=Vyper_contract, exchangeint128() -> 0x000000
            [7][CALL] from=Vyper_contract, to=crvUSD Stablecoin, transferFromaddress() -> 0x000000
            [7][CALL] from=Vyper_contract, to=FiatTokenProxy, transferaddress() -> 0x000000
              [8][DELEGATECALL] from=FiatTokenProxy, to=FiatTokenV2_2, transferaddress() -> 0x000000
        [5][STATICCALL] from=0x151aa6, to=FiatTokenProxy, balanceOfaddress() -> 0x000000
          [6][DELEGATECALL] from=FiatTokenProxy, to=FiatTokenV2_2, balanceOfaddress() -> 0x000000
        [5][CALL] from=0x151aa6, to=0x88e6A0, swapaddress() -> 0x000000
          [6][CALL] from=0x88e6A0, to=WETH9, transferaddress() -> 0x000000
          [6][STATICCALL] from=0x88e6A0, to=FiatTokenProxy, balanceOfaddress() -> 0x000000
            [7][DELEGATECALL] from=FiatTokenProxy, to=FiatTokenV2_2, balanceOfaddress() -> 0x000000
          [6][CALL] from=0x88e6A0, to=0x151aa6, uniswapV3SwapCallbackint256() -> None
            [7][STATICCALL] from=0x151aa6, to=0x88e6A0, token0() -> 0x000000
            [7][CALL] from=0x151aa6, to=FiatTokenProxy, transferaddress() -> 0x000000
              [8][DELEGATECALL] from=FiatTokenProxy, to=FiatTokenV2_2, transferaddress() -> 0x000000
          [6][STATICCALL] from=0x88e6A0, to=FiatTokenProxy, balanceOfaddress() -> 0x000000
            [7][DELEGATECALL] from=FiatTokenProxy, to=FiatTokenV2_2, balanceOfaddress() -> 0x000000
      [4][CALL] from=Morpho, to=FiatTokenProxy, transferFromaddress() -> 0x000000
        [5][DELEGATECALL] from=FiatTokenProxy, to=FiatTokenV2_2, transferFromaddress() -> 0x000000
    [3][STATICCALL] from=0x151aa6, to=Stablecoin, balanceOfaddress() -> 0x000000
    [3][STATICCALL] from=0x151aa6, to=Yearn V3 Vault, balanceOfaddress() -> 0x000000
      [4][DELEGATECALL] from=Yearn V3 Vault, to=Yearn V3 Vault, balanceOfaddress() -> 0x000000
    [3][STATICCALL] from=0x151aa6, to=crvUSD Stablecoin, balanceOfaddress() -> 0x000000
    [3][STATICCALL] from=0x151aa6, to=FiatTokenProxy, balanceOfaddress() -> 0x000000
      [4][DELEGATECALL] from=FiatTokenProxy, to=FiatTokenV2_2, balanceOfaddress() -> 0x000000
    [3][CALL] from=0x151aa6, to=FiatTokenProxy, transferaddress() -> 0x000000
      [4][DELEGATECALL] from=FiatTokenProxy, to=FiatTokenV2_2, transferaddress() -> 0x000000
    [3][STATICCALL] from=0x151aa6, to=WETH9, balanceOfaddress() -> 0x000000
    [3][CALL] from=0x151aa6, to=WETH9, withdrawuint256() -> None
      [4][CALL][2421.550032848029] from=WETH9, to=0x151aa6
    [3][CALL][10.0] from=0x151aa6, to=0xdadb0d
    [3][CALL][1607.7000218986857] from=0x151aa6, to=0x886f78
    [3][CALL][803.8500109493428] from=0x151aa6, to=0x6d9f6e
