[1][CALL] from=0x57c112, to=0x450595, 0x320bd352() -> None
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x356b7D) -> None
  [2][CREATE] from=0x450595, to=0x846d13, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x846d13) -> None
  [2][CREATE] from=0x450595, to=0x54cb57, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x54cb57) -> None
  [2][CREATE] from=0x450595, to=0x827fcb, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x827FCb) -> None
  [2][CREATE] from=0x450595, to=0x8d53b3, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x8D53B3) -> None
  [2][CREATE] from=0x450595, to=0x4ea493, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x4EA493) -> None
  [2][CREATE] from=0x450595, to=0xc77d19, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xc77D19) -> None
  [2][CREATE] from=0x450595, to=0xc845c0, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xC845C0) -> None
  [2][CREATE] from=0x450595, to=0xdd1868, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xDD1868) -> None
  [2][CREATE] from=0x450595, to=0xbd3044, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xBd3044) -> None
  [2][CREATE] from=0x450595, to=0x699a9e, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x699a9e) -> None
  [2][CREATE] from=0x450595, to=0x26cc97, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x26cc97) -> None
  [2][CREATE] from=0x450595, to=0x78eec8, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x78eEc8) -> None
  [2][CREATE] from=0x450595, to=0x945ce4, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x945ce4) -> None
  [2][CREATE] from=0x450595, to=0x00989b, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x00989B) -> None
